,sample_id,type,control_type,nb_reads.x,nb_motus.x,seqdepth_ok.x,nb_reads_postmetabaR.x,nb_motus_postmetabaR.x,Site.Name,nb_reads.y,nb_motus.y,seqdepth_ok.y,nb_reads_postmetabaR.y,nb_motus_postmetabaR.y,nb_reads,nb_motus,Sample.ID,Date.Collected..MM.DD.YYYY.,Year,Time.Net.Set..or.catch.,Island,Species..common.name.,Species..scientific.name.,Spaghetti.Tag.ID,PIT.Tag.ID,Satellite.Tag.ID,Acoustic.Tag.ID,Sex,Lateral..mm.,Girth..mm.,Proximal..mm.,Fork.Length..mm.,Stretched.Total.Length..mm.,Age_category,Weight..kg.,Blood..Y.N.,Umbilical.Scar..Y.N.,Recapture.Spaghetti.Tag.ID,Recapture.PIT.Tag.ID,Salinity..ppt.,Tide,Water.Temperature..C.,Method.of.Capture,Associated.Water.Sample.IDs,BRUV.File.Name,Assosiated.DNA.Blood.Sample,Fishing.Notes,Swab.Appearence,Date.Extraction.Started,Time.placed.in.incubator.for.Step.2,Placed.in.feezer.after.step.5...Y.N.,If.placed.in.freezer.what.date.,Date.fully.extracted,DNA.Extraction.Notes,Date.of.1st.PCR,X,X.1,X.2,X.3,X.4,X.5
G046,G046,sample,NA, 435|1745, 3|12,TRUE, 435|1726,3|9,Rosa Blanca 2,NA,NA,NA,NA,NA,2161,9,G46,6/23/21,2021,10:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,554,700,,NA,Y,NA,NA,NA,34.07,Incoming,24.58,Gill Net,,,S46,,Alot,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G047,G047,sample,NA,16734|33218,23|34,TRUE,16734|33151,23|30,Rosa Blanca 2,NA,NA,NA,NA,NA,49885,32,G47,6/23/21,2021,10:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,578,709,,NA,Y,NA,NA,NA,34.07,Incoming,24.58,Gill Net,,,S47,,Medium,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G048,G048,sample,NA, 1201|27282,2|4,TRUE, 1172|26378,1|2,Rosa Blanca 2,NA,NA,NA,NA,NA,27550,2,G48,6/23/21,2021,10:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,530,620,,NA,Y,NA,NA,NA,34.07,Incoming,24.58,Gill Net,,,S48,,Light,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G049,G049,sample,NA,1436|9242,4|6,TRUE,1435|9242,4|5,Rosa Blanca 2,NA,NA,NA,NA,NA,10677,6,G49,6/23/21,2021,10:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,552,685,,NA,Y,NA,NA,NA,34.07,Incoming,24.58,Gill Net,,,S49,,Light,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G050,G050,sample,NA,16447|18091,11|12,TRUE,16447|18091,11|12,Cerro Brujo,NA,NA,NA,NA,NA,34538,13,G50,6/25/21,2021,8:19,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,630,790,,NA,Y,NA,NA,NA,34.89,Outgoing,23.32,Gill Net,,merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2,S50,,Light,6/25/21,5:54 PM,N,,6/26/21,,NA,NA,NA,NA,NA,NA,NA
G051,G051,sample,NA,20372|47211,3|7,TRUE,20370|47037,2|6,Cerro Brujo,NA,NA,NA,NA,NA,67407,6,G51,6/25/21,2021,8:19,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,580,720,,NA,Y,NA,NA,NA,34.89,Outgoing,23.32,Gill Net,,merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2,S51,,None,6/25/21,5:54 PM,N,,6/26/21,,NA,NA,NA,NA,NA,NA,NA
G053,G053,sample,NA,20814|56863,23|24,TRUE,20814|56861,22|23,Cerro Brujo,NA,NA,NA,NA,NA,77675,24,G53,6/25/21,2021,8:19,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,590,730,,NA,Y,NA,NA,NA,34.89,Outgoing,23.32,Gill Net,,merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2,S53,Blood didn't separate all the way when spun,Light,6/25/21,5:54 PM,N,,6/26/21,,NA,NA,NA,NA,NA,NA,NA
G054,G054,sample,NA,35623|44307,31|36,TRUE,20134|23388,26|32,Cerro Brujo,NA,NA,NA,NA,NA,43522,38,G54,6/25/21,2021,8:19,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,540,680,,NA,Y,NA,NA,NA,34.89,Outgoing,23.32,Gill Net,,merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2,S54,,Medium,6/25/21,5:54 PM,N,,6/26/21,,NA,NA,NA,NA,NA,NA,NA
G055,G055,sample,NA, 3040|17455,3|8,TRUE, 3026|17455,3|7,Cerro Brujo,751,1,TRUE,0,0,20481,7,G55,6/25/21,2021,8:19,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,750,940,,NA,Y,NA,NA,NA,34.89,Outgoing,23.32,Gill Net,,merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2,S55,,Light,6/25/21,5:54 PM,N,,6/26/21,,NA,NA,NA,NA,NA,NA,NA
G056,G056,sample,NA,517|822,7|8,TRUE,509|818,6,Cerro Brujo,NA,NA,NA,NA,NA,1327,8,G56,6/25/21,2021,8:19,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,600,820,,NA,Y,NA,NA,NA,34.89,Outgoing,23.32,Gill Net,,merged_6/25/21_Cerro Brujo_B2C1; merged_6/25/21_Cerro Brujo_B2C2,S56,"Made weird noise with mouth, kind of seemed like it was seizing",Alot,6/25/21,5:54 PM,N,,6/26/21,,NA,NA,NA,NA,NA,NA,NA
